x_sim, y_sim, e_x_sim, e_y_sim, error_sim, x_real, y_real, e_x_real, e_y_real, error_real,,,
1125.6,55.8,1147.249613,61.49885785,22.38711076,8.1781875,0.52855,8.33548547,0.582530848,0.166302686,,,
1124.8,56.4,1103.492011,49.92352392,22.27049974,8.172375,0.534233333,8.017559139,0.472886713,0.166527351,,,
1124,57,1137.789299,79.21431408,26.14613771,8.1665625,0.539916667,8.266750376,0.750335586,0.233053067,,,
1123.2,57.6,1098.201549,58.63425098,25.0198367,8.16075,0.5456,7.979120629,0.555396655,0.181893383,,,
1122.4,58.2,1125.207149,61.75941515,4.533158249,8.1549375,0.551283333,8.175333195,0.584998905,0.03940462,,,
1121.6,58.8,1141.704903,65.19810501,21.09840962,8.149125,0.556966667,8.295199689,0.617570939,0.158147692,,,
1120.8,59.4,1114.746903,74.59305265,16.35447434,8.1433125,0.56265,8.099332968,0.706561971,0.150482074,,,
1120,60,1141.500029,82.46879585,31.09819997,8.1375,0.568333333,8.293711149,0.781162761,0.264004334,,,
1119.2,60.6,1115.201591,86.87744811,26.57990878,8.1316875,0.574016667,8.102636562,0.822922495,0.250595427,,,
1118.4,61.2,1123.647429,60.19111563,5.34353459,8.125875,0.5797,8.164000854,0.570143623,0.03930528,,,
1117.6,61.8,1123.271251,64.25759795,6.180847506,8.1200625,0.585383333,8.161267683,0.608662247,0.047326261,,,
1116.8,62.4,1130.704265,43.42452231,23.524399,8.11425,0.591066667,8.215273178,0.411326725,0.206184696,,,
1116,63,1108.777453,26.9668402,36.74988157,8.1084375,0.59675,8.055961179,0.255435903,0.345324597,,,
1115.2,63.6,1099.893961,39.09330909,28.89381821,8.102625,0.602433333,7.99141706,0.370300511,0.257396296,,,
1114.4,64.2,1101.515941,72.46636539,15.30789867,8.0968125,0.608116667,8.003201762,0.686417517,0.12204095,,,
1113.6,64.8,1097.653834,38.79236626,30.50700278,8.091,0.6138,7.975141139,0.367449914,0.272234533,,,
1112.8,65.4,1118.731169,66.47612385,6.028002337,8.0851875,0.619483333,8.128281152,0.629676618,0.044282795,,,
1112,66,1101.825821,61.18522448,11.25593115,8.079375,0.625166667,8.005453229,0.579560043,0.086858461,,,
1111.2,66.6,1117.800469,80.95253284,15.79751226,8.0735625,0.63085,8.121519035,0.766800381,0.144160796,,,
1110.4,67.2,1127.653044,69.50227413,17.40597596,8.06775,0.636533333,8.193104149,0.658340986,0.12723693,,,
1109.6,67.8,1123.183828,79.47415387,17.91106533,8.0619375,0.642216667,8.160632503,0.752796846,0.148218352,,,
1108.8,68.4,1119.071242,96.24565084,29.67960058,8.056125,0.6479,8.130751995,0.911660193,0.27411426,,,
1108,69,1100.462217,90.66905071,22.94266624,8.0503125,0.653583333,7.995545794,0.858837397,0.212434985,,,
1107.2,69.6,1113.737169,56.35676735,14.76881135,8.0445,0.659266667,8.091996618,0.533823824,0.134133648,,,
1106.4,70.2,1087.271545,49.75707641,27.99662351,8.0386875,0.66495,7.899707317,0.471310085,0.238352487,,,
1105.6,70.8,1117.782292,63.69664439,14.10198223,8.032875,0.670633333,8.121386966,0.60334877,0.111182645,,,
1104.8,71.4,1121.421371,89.34382229,24.45916456,8.0270625,0.676316667,8.147827148,0.846284539,0.208502225,,,
1104,72,1091.004571,77.71766194,14.19763467,8.02125,0.682,7.926830087,0.736158965,0.108849958,,,
1103.2,72.6,1092.114133,81.96087632,14.50939157,8.0154375,0.687683333,7.93489175,0.776351634,0.119790172,,,
1102.4,73.2,1096.017523,51.48424091,22.63427071,8.009625,0.693366667,7.963252313,0.487670171,0.210858897,,,
1101.6,73.8,1080.52472,59.60685395,25.40891229,8.0038125,0.69905,7.850687418,0.564609367,0.203768434,,,
1100.8,74.4,1094.248453,83.52777308,11.23561348,7.998,0.704733333,7.950398916,0.791193628,0.09869775,,,
1100,75,1105.942464,50.86339049,24.85736915,7.9921875,0.710416667,8.035363217,0.481789338,0.23266843,,,
1099.2,75.6,1088.380494,93.97286874,21.32191403,7.986375,0.7161,7.907764526,0.890131896,0.190962581,,,
1098.4,76.2,1083.415341,62.35969446,20.39838352,7.9805625,0.721783333,7.87168959,0.590684884,0.170411602,,,
1097.6,76.8,1085.320919,58.72302983,21.85297875,7.97475,0.727466667,7.885534802,0.556237588,0.193077054,,,
1096.8,77.4,1095.697212,74.14388675,3.437792039,7.9689375,0.73315,7.960925059,0.702307372,0.031866392,,,
